id,race_name,country,circuit,year,date,geo_id,inbound_route,outbound_route,outbound_year_emissions_t,outbound_effort_score,yearly_outbound_effort_score,leg_emissions,Gap_Next_Days,Season_Phase,outbound_same_continent,consecutive_races_in_region,stint_position,involved_in_back_to_back,involved_in_triple_header,time_to_arrive_here
1,Australian Grand Prix,Australia,Melbourne,2000,2000-03-12,6,,239,95500,13062.910868716239,58454.43418982744,21341.545859655227,14,Early_Season,0,0,Single,0,0,3W+
2,Brazilian Grand Prix,Brazil,São Paulo,2000,2000-03-26,4,239,156,95500,9612.464690965093,58454.43418982744,15704.375394449033,14,Early_Season,0,0,Single,0,0,2W
3,San Marino Grand Prix,Italy,Imola,2000,2000-04-09,16,156,706,95500,143.19,58454.43418982744,233.9368294215691,14,Early_Season,1,4,Start,0,0,2W
4,British Grand Prix,UK,Silverstone,2000,2000-04-23,1,706,9,95500,145.07999999999998,58454.43418982744,237.0246191248079,14,Early_Season,1,4,Middle,0,0,2W
5,Spanish Grand Prix,Spain,Montmeló,2000,2000-05-07,10,9,458,95500,113.4216,58454.43418982744,185.30267121950865,14,Early_Season,1,4,Middle,0,0,2W
6,European Grand Prix,Germany,Nürburg,2000,2000-05-21,36,458,1677,95500,102.30030000000001,58454.43418982744,167.133234380022,14,Early_Season,1,4,End,0,0,2W
7,Monaco Grand Prix,Monaco,Monte-Carlo,2000,2000-06-04,32,1677,1469,95500,6121.731961204659,58454.43418982744,10001.386727934227,14,Mid_Season,0,0,Single,0,0,2W
8,Canadian Grand Prix,Canada,Montreal,2000,2000-06-18,12,1469,536,95500,5658.437269982127,58454.43418982744,9244.478486070662,14,Mid_Season,0,0,Single,0,0,2W
9,French Grand Prix,France,Magny Cours,2000,2000-07-02,20,536,904,95500,120.0789,58454.43418982744,196.17904285515507,14,Mid_Season,1,5,Start,0,0,2W
10,Austrian Grand Prix,Austria,Spielberg,2000,2000-07-16,11,904,482,95500,61.449299999999994,58454.43418982744,100.39286550858876,14,Mid_Season,1,5,Middle,0,0,2W
11,German Grand Prix,Germany,Hockenheim,2000,2000-07-30,13,482,566,95500,91.53,58454.43418982744,149.53724419970823,14,Mid_Season,1,5,Middle,0,0,2W
12,Hungarian Grand Prix,Hungary,Budapest,2000,2000-08-13,2,566,67,95500,115.32329999999999,58454.43418982744,188.40957581138653,14,Mid_Season,1,5,Middle,0,0,2W
13,Belgian Grand Prix,Belgium,Spa,2000,2000-08-27,21,67,943,95500,71.4042,58454.43418982744,116.65669498836236,14,Mid_Season,1,5,End,0,0,2W
14,Italian Grand Prix,Italy,Monza,2000,2000-09-10,3,943,116,95500,7345.695115647774,58454.43418982744,12001.037958322137,14,Late_Season,0,0,Single,0,0,2W
15,United States Grand Prix,USA,Indianapolis,2000,2000-09-24,23,116,1041,95500,10627.670529264316,58454.43418982744,17362.969116231186,14,Late_Season,0,0,Single,0,0,2W
16,Japanese Grand Prix,Japan,Suzuka,2000,2000-10-08,7,1041,290,95500,5061.746154047234,58454.43418982744,8269.63367982842,14,Late_Season,1,1,Start,0,0,2W
17,Malaysian Grand Prix,Malaysia,Kuala Lumpur,2000,2000-10-22,9,290,,95500,,58454.43418982744,,,Late_Season,0,0,Single,0,0,2W
18,Australian Grand Prix,Australia,Melbourne,2001,2001-03-04,6,,243,95500,6334.527181443277,62505.004157821575,9678.382618780017,14,Early_Season,0,0,Single,0,0,3W+
19,Malaysian Grand Prix,Malaysia,Kuala Lumpur,2001,2001-03-18,9,243,380,95500,15901.039785490371,62505.004157821575,24294.843588524207,14,Early_Season,0,0,Single,0,0,2W
20,Brazilian Grand Prix,Brazil,São Paulo,2001,2001-04-01,4,380,156,95500,9612.464690965093,62505.004157821575,14686.670137150826,14,Early_Season,0,0,Single,0,0,2W
21,San Marino Grand Prix,Italy,Imola,2001,2001-04-15,16,156,715,95500,103.68539999999999,62505.004157821575,158.41860717260533,14,Early_Season,1,3,Start,0,0,2W
22,Spanish Grand Prix,Spain,Montmeló,2001,2001-04-29,10,715,433,95500,143.6616,62505.004157821575,219.4973504098741,14,Early_Season,1,3,Middle,0,0,2W
23,Austrian Grand Prix,Austria,Spielberg,2001,2001-05-13,11,433,501,95500,85.1184,62505.004157821575,130.05050250817078,14,Early_Season,1,3,End,0,0,2W
24,Monaco Grand Prix,Monaco,Monte-Carlo,2001,2001-05-27,32,501,1469,95500,6121.731961204659,62505.004157821575,9353.257553889589,14,Early_Season,0,0,Single,0,0,2W
25,Canadian Grand Prix,Canada,Montreal,2001,2001-06-10,12,1469,552,95500,5721.561993806082,62505.004157821575,8741.846797239286,14,Mid_Season,0,0,Single,0,0,2W
26,European Grand Prix,Germany,Nürburg,2001,2001-06-24,36,552,1665,95500,64.35,62505.004157821575,98.31892794508342,7,Mid_Season,1,6,Start,1,0,2W
27,French Grand Prix,France,Magny Cours,2001,2001-07-01,20,1665,894,95500,76.86,62505.004157821575,117.4326775735682,14,Mid_Season,1,6,Middle,1,0,1W
28,British Grand Prix,UK,Silverstone,2001,2001-07-15,1,894,12,95500,88.38,62505.004157821575,135.0338283105901,14,Mid_Season,1,6,Middle,0,0,2W
29,German Grand Prix,Germany,Hockenheim,2001,2001-07-29,13,12,566,95500,91.53,62505.004157821575,139.84664296524454,21,Mid_Season,1,6,Middle,0,0,2W
30,Hungarian Grand Prix,Hungary,Budapest,2001,2001-08-19,2,566,67,95500,115.32329999999999,62505.004157821575,176.19989468670147,14,Mid_Season,1,6,Middle,0,0,3W+
31,Belgian Grand Prix,Belgium,Spa,2001,2001-09-02,21,67,943,95500,71.4042,62505.004157821575,109.0968825917067,14,Late_Season,1,6,End,0,0,2W
32,Italian Grand Prix,Italy,Monza,2001,2001-09-16,3,943,116,95500,7345.695115647774,62505.004157821575,11223.323524194637,14,Late_Season,0,0,Single,0,0,2W
33,United States Grand Prix,USA,Indianapolis,2001,2001-09-30,23,116,1041,95500,10627.670529264316,62505.004157821575,16237.780466057888,14,Late_Season,0,0,Single,0,0,2W
34,Japanese Grand Prix,Japan,Suzuka,2001,2001-10-14,7,1041,,95500,,62505.004157821575,,,Late_Season,0,0,Single,0,0,2W
35,Australian Grand Prix,Australia,Melbourne,2002,2002-03-03,6,,243,95500,6334.527181443277,62483.69125782157,9681.683870622912,14,Early_Season,0,0,Single,0,0,3W+
36,Malaysian Grand Prix,Malaysia,Kuala Lumpur,2002,2002-03-17,9,243,380,95500,15901.039785490371,62483.69125782157,24303.13044804698,14,Early_Season,0,0,Single,0,0,2W
37,Brazilian Grand Prix,Brazil,São Paulo,2002,2002-03-31,4,380,156,95500,9612.464690965093,62483.69125782157,14691.679692855125,14,Early_Season,0,0,Single,0,0,2W
38,San Marino Grand Prix,Italy,Imola,2002,2002-04-14,16,156,715,95500,103.68539999999999,62483.69125782157,158.4726430316406,14,Early_Season,1,3,Start,0,0,2W
39,Spanish Grand Prix,Spain,Montmeló,2002,2002-04-28,10,715,433,95500,143.6616,62483.69125782157,219.5722199475947,14,Early_Season,1,3,Middle,0,0,2W
40,Austrian Grand Prix,Austria,Spielberg,2002,2002-05-12,11,433,501,95500,85.1184,62483.69125782157,130.09486213704528,14,Early_Season,1,3,End,0,0,2W
41,Monaco Grand Prix,Monaco,Monte-Carlo,2002,2002-05-26,32,501,1469,95500,6121.731961204659,62483.69125782157,9356.447907066675,14,Early_Season,0,0,Single,0,0,2W
42,Canadian Grand Prix,Canada,Montreal,2002,2002-06-09,12,1469,552,95500,5721.561993806082,62483.69125782157,8744.828601016468,14,Mid_Season,0,0,Single,0,0,2W
43,European Grand Prix,Germany,Nürburg,2002,2002-06-23,36,552,1646,95500,70.38,62483.69125782157,107.56870896545574,14,Mid_Season,1,6,Start,0,0,2W
44,British Grand Prix,UK,Silverstone,2002,2002-07-07,1,1646,19,95500,76.86,62483.69125782157,117.47273332033146,14,Mid_Season,1,6,Middle,0,0,2W
45,French Grand Prix,France,Magny Cours,2002,2002-07-21,20,19,906,95500,61.0371,62483.69125782157,93.2890316282384,7,Mid_Season,1,6,Middle,1,0,2W
46,German Grand Prix,Germany,Hockenheim,2002,2002-07-28,13,906,566,95500,91.53,62483.69125782157,139.89434401261957,21,Mid_Season,1,6,Middle,1,0,1W
47,Hungarian Grand Prix,Hungary,Budapest,2002,2002-08-18,2,566,67,95500,115.32329999999999,62483.69125782157,176.25999566120973,14,Mid_Season,1,6,Middle,0,0,3W+
48,Belgian Grand Prix,Belgium,Spa,2002,2002-09-01,21,67,943,95500,71.4042,62483.69125782157,109.13409503710139,14,Late_Season,1,6,End,0,0,2W
49,Italian Grand Prix,Italy,Monza,2002,2002-09-15,3,943,116,95500,7345.695115647774,62483.69125782157,11227.151748281973,14,Late_Season,0,0,Single,0,0,2W
50,United States Grand Prix,USA,Indianapolis,2002,2002-09-29,23,116,1041,95500,10627.670529264316,62483.69125782157,16243.31909836863,14,Late_Season,0,0,Single,0,0,2W
51,Japanese Grand Prix,Japan,Suzuka,2002,2002-10-13,7,1041,,95500,,62483.69125782157,,,Late_Season,0,0,Single,0,0,2W
52,Australian Grand Prix,Australia,Melbourne,2003,2003-03-09,6,,243,90000,6334.527181443277,62409.61945782157,9134.92905873576,14,Early_Season,0,0,Single,0,0,3W+
53,Malaysian Grand Prix,Malaysia,Kuala Lumpur,2003,2003-03-23,9,243,380,90000,15901.039785490371,62409.61945782157,22930.657054579744,14,Early_Season,0,0,Single,0,0,2W
54,Brazilian Grand Prix,Brazil,São Paulo,2003,2003-04-06,4,380,156,90000,9612.464690965093,62409.61945782157,13861.994828722445,14,Early_Season,0,0,Single,0,0,2W
55,San Marino Grand Prix,Italy,Imola,2003,2003-04-20,16,156,715,90000,103.68539999999999,62409.61945782157,149.5231998058673,14,Early_Season,1,3,Start,0,0,2W
56,Spanish Grand Prix,Spain,Montmeló,2003,2003-05-04,10,715,433,90000,143.6616,62409.61945782157,207.17229350738472,14,Early_Season,1,3,Middle,0,0,2W
57,Austrian Grand Prix,Austria,Spielberg,2003,2003-05-18,11,433,501,90000,85.1184,62409.61945782157,122.74800049337453,14,Early_Season,1,3,End,0,0,2W
58,Monaco Grand Prix,Monaco,Monte-Carlo,2003,2003-06-01,32,501,1469,90000,6121.731961204659,62409.61945782157,8828.060181984813,14,Mid_Season,0,0,Single,0,0,2W
59,Canadian Grand Prix,Canada,Montreal,2003,2003-06-15,12,1469,552,90000,5721.561993806082,62409.61945782157,8250.980921147271,14,Mid_Season,0,0,Single,0,0,2W
60,European Grand Prix,Germany,Nürburg,2003,2003-06-29,36,552,1665,90000,64.35,62409.61945782157,92.79819441799484,7,Mid_Season,1,5,Start,1,0,2W
61,French Grand Prix,France,Magny Cours,2003,2003-07-06,20,1665,894,90000,76.86,62409.61945782157,110.83868256359104,14,Mid_Season,1,5,Middle,1,0,1W
62,British Grand Prix,UK,Silverstone,2003,2003-07-20,1,894,12,90000,88.38,62409.61945782157,127.45150617967963,14,Mid_Season,1,5,Middle,0,0,2W
