id,year,from_circuit,to_circuit,from_lat,from_lon,to_lat,to_lon,delta_lat,delta_lon,consecutive_races_in_region,involved_in_back_to_back,involved_in_triple_header,from_is_island,to_is_island,Gap_Next_Days,estimated_emissions_kgCO2e,air_distance_km,truck_distance_km,truck_feasible,truck_mode_assigned,is_intercontinental,stint_position_End,stint_position_Middle,stint_position_Single,stint_position_Start
240.0,2019,Melbourne,Sakhir,-37.8497,144.968,26.0325,50.5106,63.8822,94.45739999999999,0,0,0,0,0,14.0,13741.51518267945,12112.617739660875,0.0,0,0,1,False,False,True,False
195.0,2019,Sakhir,Shanghai,26.0325,50.5106,31.3303,121.2246,5.297800000000002,70.714,2,0,0,0,0,14.0,7719.891120391927,6804.787455387189,0.0,0,0,0,False,False,False,True
346.0,2019,Shanghai,Baku,31.3303,121.2246,40.3725,49.8533,9.042200000000001,71.37129999999999,2,0,0,0,0,14.0,7189.02667302488,6336.85083871494,0.0,0,0,0,True,False,False,False
809.0,2019,Baku,Catalunya,40.3725,49.8533,41.57,2.2611,1.197499999999998,47.5922,0,0,0,0,0,14.0,4477.219229351406,3946.4967538767582,0.0,0,0,1,False,False,True,False
454.0,2019,Catalunya,Monte Carlo,41.57,2.2611,43.7347,7.4206,2.1646999999999963,5.1595,1,0,0,0,0,14.0,67.53918841133977,485.644843025116,661.48,1,1,0,False,False,False,True
1469.0,2019,Monte Carlo,Montreal,43.7347,7.4206,45.5,-73.5228,1.7653000000000034,80.9434,0,0,0,0,0,14.0,6944.978740123527,6121.731961204659,0.0,0,0,1,False,False,True,False
543.0,2019,Montreal,Le Castellet,45.5,-73.5228,43.25,5.7917,2.25,79.31450000000001,0,0,0,0,0,14.0,6851.405914097206,6039.251109754941,0.0,0,0,1,False,False,True,False
1233.0,2019,Le Castellet,Spielberg,43.25,5.7917,47.2196,14.7649,3.9696,8.973200000000002,6,1,0,0,0,7.0,116.5783079645876,828.9882698405144,1141.77,1,1,0,False,False,False,True
471.0,2019,Spielberg,Silverstone,47.2196,14.7649,52.0786,-1.0169,4.859000000000002,15.7818,6,1,0,0,0,14.0,162.03769125112808,1254.6562192955369,1587.0,1,1,0,False,True,False,False
12.0,2019,Silverstone,Hockenheim,52.0786,-1.0169,49.3249,8.5694,2.753700000000002,9.5863,6,0,0,0,0,14.0,100.265288474233,740.1815508249747,982.0,1,1,0,False,True,False,False
