id,from_id,from_circuit,to_id,to_circuit,distance_km,transport_mode,needs_air,truck_distance_km,truck_viable,truck_emissions,air_emissions
1,1,Silverstone,2,Budapest,1531.2813714308704,,1,,,,643138.1760009656
2,1,Silverstone,3,Monza,1039.4517975036154,,1,,,,436569.7549515185
3,1,Silverstone,4,São Paulo,9522.765184593849,,1,,,,3999561.3775294167
4,1,Silverstone,5,Sakhir,5158.071082446962,,1,,,,2166389.854627724
5,1,Silverstone,6,Melbourne,16947.2158340113,,1,,,,7117830.650284745
6,1,Silverstone,7,Suzuka,9507.118346459183,,1,,,,3992989.7055128575
7,1,Silverstone,8,Shanghai,9175.141317424175,,1,,,,3853559.3533181534
8,1,Silverstone,9,Kuala Lumpur,10629.960082805392,,1,,,,4464583.234778264
9,1,Silverstone,10,Catalunya,1194.496385878844,,1,,,,501688.48206911446
10,1,Silverstone,11,Spielberg,1254.6562192955369,,1,,,,526955.6121041256
11,1,Silverstone,12,Montreal,5137.2156094009915,,1,,,,2157630.5559484162
12,1,Silverstone,13,Hockenheim,740.1815508249747,,1,,,,310876.25134648936
13,1,Silverstone,14,Marina Bay,10902.533149806177,,1,,,,4579063.922918594
14,1,Silverstone,15,Austin,7833.243105234325,,1,,,,3289962.1041984167
15,1,Silverstone,16,Imola,1273.3831163746843,,1,,,,534820.9088773674
16,1,Silverstone,17,Mexico City,8850.155227280155,,1,,,,3717065.195457665
17,1,Silverstone,18,Baku,4030.5833650412123,,1,,,,1692845.013317309
18,1,Silverstone,19,Istanbul,2609.3173680460604,,1,,,,1095913.2945793453
19,1,Silverstone,20,Magny Cours,653.5097667367077,,1,,,,274474.10202941723
20,1,Silverstone,21,Spa-Francorchamps,519.1304791898956,,1,,,,218034.80125975615
21,1,Silverstone,22,Sochi,3164.294953079194,,1,,,,1329003.8802932615
22,1,Silverstone,23,Indianapolis,6340.932245021022,,1,,,,2663191.542908829
23,1,Silverstone,24,Jeddah,4815.744362571704,,1,,,,2022612.6322801157
24,1,Silverstone,25,Zandvoort,379.9620841403897,,1,,,,159584.07533896365
25,1,Silverstone,26,Valencia,1404.2357223407325,,1,,,,589779.0033831077
26,1,Silverstone,27,Le Castellet,1105.058287816105,,1,,,,464124.4808827641
27,1,Silverstone,28,Lusail,5265.787095910061,,1,,,,2211630.5802822257
28,1,Silverstone,29,Yeongam County,9096.88958004407,,1,,0.0,,3820693.623618509
29,1,Silverstone,30,Miami,7043.574278640061,,1,,,,2958301.197028825
30,1,Silverstone,31,Uttar Pradesh,6803.742234252681,,1,,,,2857571.7383861262
31,1,Silverstone,32,Monte Carlo,1119.233409939855,,1,,,,470078.03217473906
32,1,Silverstone,33,Las Vegas,8313.343387950123,,1,,,,3491604.2229390517
33,1,Silverstone,34,Portimão,1755.2700043410237,,1,,,,737213.40182323
34,1,Silverstone,35,Oyama,9541.667583348139,,1,,,,4007500.3850062178
35,1,Silverstone,36,Nürburgring,587.3418900923042,,1,,,,246683.59383876776
36,1,Silverstone,37,Yas Marina,5561.329173047832,,1,,,,2335758.2526800893
37,1,Silverstone,38,Mugello,1283.5419521572512,,1,,,,539087.6199060456
38,1,Silverstone,39,Cape Town,9747.915818191246,,1,,0.0,,4094124.6436403235
39,1,Silverstone,40,Seoul,8847.55815431804,,1,,0.0,,3715974.4248135765
40,1,Silverstone,41,Buenos Aires,11129.421319213121,,1,,,,4674356.95406951
41,1,Silverstone,42,Chicago,6269.5406093533375,,1,,,,2633207.055928402
42,1,Silverstone,43,Auckland,18289.53893821252,,1,,,,7681606.354049259
43,1,Silverstone,44,Riyadh,5017.344562025857,,1,,,,2107284.71605086
44,1,Silverstone,45,Lagos,5081.407390956935,,1,,0.0,,2134191.104201913
45,1,Silverstone,46,Oslo,1134.4893271530837,,1,,,,476485.51740429515
46,1,Silverstone,47,Kuala Terengganu,10494.80628015976,,1,,,,4407818.637667099
47,1,Silverstone,48,Vancouver,7490.790206091428,,1,,,,3146131.8865583995
48,2,Budapest,1,Silverstone,1531.2813714308704,,1,,,,643138.1760009656
49,2,Budapest,3,Monza,791.5906809616687,,0,1014.92,1.0,42626.64,332468.0860039009
50,2,Budapest,4,São Paulo,10294.506881405303,,1,,,,4323692.890190228
51,2,Budapest,5,Sakhir,3628.9835012937942,,1,,,,1524173.0705433937
52,2,Budapest,6,Melbourne,15546.4051000299,,1,,,,6529490.142012558
53,2,Budapest,7,Suzuka,8932.806706497318,,1,,,,3751778.816728874
54,2,Budapest,8,Shanghai,8302.548279831715,,1,,,,3487070.27752932
55,2,Budapest,9,Kuala Lumpur,9217.935459397862,,1,,,,3871532.892947102
56,2,Budapest,10,Catalunya,1497.9679470707808,,0,1956.64,1.0,82178.88,629146.537769728
57,2,Budapest,11,Spielberg,339.77911941766195,,0,463.84,1.0,19481.28,142707.23015541802
58,2,Budapest,12,Montreal,6644.698624195671,,1,,,,2790773.4221621817
59,2,Budapest,13,Hockenheim,810.7146341709666,,0,1018.17,1.0,42763.14,340500.146351806
60,2,Budapest,14,Marina Bay,9497.843719403118,,1,,,,3989094.36214931
61,2,Budapest,15,Austin,9326.329485052553,,1,,,,3917058.3837220715
62,2,Budapest,16,Imola,683.8913286936013,,0,935.72,1.0,39300.24,287234.35805131256
63,2,Budapest,17,Mexico City,10369.42970047874,,1,,,,4355160.474201071
64,2,Budapest,18,Baku,2557.3793901824843,,1,,,,1074099.3438766433
65,2,Budapest,19,Istanbul,1092.4516228703753,,1,,,,458829.6816055577
66,2,Budapest,20,Magny Cours,1215.1677131653878,,0,1701.05,1.0,71444.1,510370.4395294629
67,2,Budapest,21,Spa-Francorchamps,1017.6096874173662,,0,1281.37,1.0,53817.54,427396.06871529383
68,2,Budapest,22,Sochi,1673.8894774782425,,0,2549.81,1.0,107092.02,703033.5805408618
69,2,Budapest,23,Indianapolis,7837.130220973562,,1,,,,3291594.692808896
70,2,Budapest,24,Jeddah,3387.787340273505,,1,,,,1422870.6829148722
71,2,Budapest,25,Zandvoort,1176.8165048990118,,0,1494.49,1.0,62768.58,494262.93205758487
72,2,Budapest,26,Valencia,1811.314900247726,,0,2323.29,1.0,97578.18,760752.258104045
73,2,Budapest,27,Le Castellet,1153.3848844398935,,0,1502.79,1.0,63117.18,484421.6514647553
74,2,Budapest,28,Lusail,3736.102650769988,,1,,,,1569163.113323395
75,2,Budapest,29,Yeongam County,8351.891068438836,,1,,0.0,,3507794.248744311
76,2,Budapest,30,Miami,8573.787986014931,,1,,,,3600990.954126271
77,2,Budapest,31,Uttar Pradesh,5392.972020212649,,1,,,,2265048.248489313
78,2,Budapest,32,Monte Carlo,1012.3905844862568,,0,1304.6,1.0,54793.2,425204.0454842278
79,2,Budapest,33,Las Vegas,9658.597553422615,,1,,,,4056610.972437498
80,2,Budapest,34,Portimão,2542.82173573292,,0,3230.1,1.0,135664.2,1067985.1290078266
81,2,Budapest,35,Oyama,9016.25583308279,,1,,,,3786827.4498947724
82,2,Budapest,36,Nürburgring,947.6720061715895,,0,1190.57,1.0,50003.94,398022.2425920676
